Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Jeff Adrien,PF,25,HOU,8,63,11.2,0.493,0,0.75,9.1,31.6,20.3,2.4,0,2.4,8.6,16.8,,0.1,0.1,0.1,0.106,,-5.4,-2.3,-7.7,-0.1
2,Arron Afflalo,SG,26,DEN,62,2086,14.7,0.584,0.316,0.353,2.3,8.5,5.5,11.1,0.9,0.5,9.5,19.1,,4.7,0.6,5.3,0.121,,2.5,-1.6,0.8,1.5
3,Blake Ahearn,PG,27,UTA,4,30,-7.3,0.357,0.643,0,0,7.7,3.8,5.2,0,0,26.3,28.4,,-0.2,0,-0.2,-0.315,,-10.3,-6,-16.3,-0.1
4,Solomon Alabi,C,23,TOR,14,122,14.2,0.418,0,0.222,14.6,30.4,22.6,4.1,0.9,6,11.2,17.2,,0,0.2,0.2,0.083,,-5.6,1.5,-4.1,-0.1
5,Cole Aldrich,C,23,OKC,26,173,17.7,0.592,0,0.333,9.2,21.6,15.8,2.7,2.4,6.7,15.7,14.9,,0.3,0.4,0.6,0.176,,-2.4,2.7,0.3,0.1
6,LaMarcus Aldridge,PF,26,POR,55,1994,22.7,0.56,0.012,0.291,8.6,17.5,12.9,13.2,1.3,1.7,9.5,27,,5.4,1.6,7,0.169,,2.7,-0.2,2.4,2.2
7,Lavoy Allen,PF,22,PHI,41,624,12.7,0.488,0,0.084,8.3,22.2,15.2,8.4,1.1,2.2,10.4,14.5,,0.4,1.2,1.6,0.124,,-3.1,1.8,-1.3,0.1
8,Ray Allen*,SG,36,BOS,46,1565,14.8,0.607,0.475,0.215,1.1,9.2,5.3,11.8,1.7,0.4,11.2,18.6,,2.5,2.2,4.7,0.145,,2.4,0.3,2.6,1.8
9,Tony Allen,SG,30,MEM,58,1525,15.7,0.541,0.058,0.391,7.4,10.6,8.9,8.3,3.6,1.8,15.2,18.4,,1.7,2.5,4.2,0.131,,0,2.5,2.5,1.7
10,Morris Almond,SG,26,WAS,4,67,8.7,0.382,0.176,0.176,1.7,11.9,6.7,4.4,5.4,0,5.2,12.9,,-0.1,0.1,0,0.032,,-3.8,1.8,-2,0
11,Al-Farouq Aminu,SF,21,NOH,66,1477,10.6,0.481,0.129,0.312,7.8,16.9,12.4,7.2,2.2,1.9,18,16.2,,-0.4,1.8,1.4,0.044,,-3,1.6,-1.3,0.2
12,Lou Amundson,PF,29,IND,60,753,11.5,0.438,0,0.396,14.1,19,16.6,3,1.9,4.6,15.6,17.3,,-0.3,1.3,1,0.062,,-3.9,1.2,-2.7,-0.1
13,Chris Andersen,C,33,DEN,32,486,18.9,0.583,0,0.759,11.9,23.3,17.8,1.8,2,7.4,10.6,14.8,,1,0.8,1.9,0.183,,-1.2,2.6,1.4,0.4
14,Alan Anderson,SF,29,TOR,17,461,8.7,0.519,0.43,0.239,2.1,6.5,4.3,9.5,0.6,0.5,13.7,18.6,,0.1,0.2,0.3,0.032,,-1.2,-2.2,-3.4,-0.2
15,James Anderson,SG,22,SAS,51,603,8.8,0.483,0.391,0.299,3.1,11.8,7.5,9.6,0.7,0.2,13.2,17.2,,0.1,0.4,0.5,0.04,,-2.2,-1.4,-3.6,-0.2
16,Ryan Anderson,PF,23,ORL,61,1964,21.2,0.589,0.557,0.226,13,14.7,13.8,5.1,1.4,1,6.4,21.2,,7,1.9,8.9,0.219,,5.9,-1.3,4.6,3.3
17,Carmelo Anthony,SF,27,NYK,55,1876,21.1,0.525,0.198,0.358,5.4,15.9,10.6,21,1.7,1,10.8,31.8,,3.7,2.6,6.2,0.16,,2.9,0,2.9,2.3
18,Joel Anthony,C,29,MIA,64,1349,10.3,0.598,0,0.467,9.2,12.8,11.1,1,1.4,5.1,19.7,7.8,,1.2,2.2,3.4,0.122,,-2.1,2.8,0.7,0.9
19,Gilbert Arenas,PG,30,MEM,17,211,9.9,0.526,0.609,0.156,1.1,9,5,13.4,2.8,0.4,14.9,17.3,,0.1,0.3,0.4,0.088,,-0.2,-0.7,-0.9,0.1
20,Trevor Ariza,SF,26,NOH,41,1350,14.2,0.496,0.216,0.253,3.7,15.1,9.5,16.8,2.8,1.5,14.5,18.4,,0.5,1.7,2.2,0.078,,-0.4,2.2,1.8,1.3
21,Ömer Aşık,C,25,CHI,66,971,13.4,0.509,0,0.66,14.9,25.1,20.1,4.8,1.7,5,25.2,12.6,,0.1,2.5,2.6,0.129,,-3.3,4.4,1.1,0.8
22,D.J. Augustin,PG,24,CHA,48,1408,14.1,0.493,0.368,0.246,1.9,7.2,4.4,38.9,1.3,0.1,16.9,21.3,,0.7,-0.2,0.5,0.018,,0.8,-4.4,-3.6,-0.6
23,Gustavo Ayón,PF,26,NOH,54,1088,16.7,0.552,0.004,0.241,9.6,19.3,14.5,11.5,2.6,3.5,13.7,14.5,,1.5,1.7,3.2,0.142,,-0.1,3.6,3.4,1.5
24,Jeff Ayres,C,24,IND,20,106,13.4,0.435,0,0.194,12.8,22.1,17.5,6.3,1.5,1.5,4.9,17.6,,0.1,0.2,0.3,0.115,,-2.3,-0.8,-3.2,0
25,Kelenna Azubuike,SG,28,DAL,3,18,-3.4,0.438,0.375,0,0,0,0,0,2.9,0,33.3,30.9,,-0.1,0,-0.1,-0.325,,-12.9,-3.2,-16,-0.1
26,Luke Babbitt,SF,22,POR,40,537,11.3,0.556,0.578,0.116,3.4,17.5,10.3,4.8,1,0.6,12.9,17.8,,0.4,0.3,0.7,0.064,,-0.9,-2.5,-3.4,-0.2
27,Renaldo Balkman,SF,27,NYK,14,115,14.3,0.57,0.281,0.344,6,20.3,13.1,7.2,1.8,2.1,14,16.7,,0.1,0.2,0.3,0.142,,-1.7,0.7,-1,0
28,Leandro Barbosa,SG,29,TOT,64,1382,14,0.512,0.267,0.195,2.8,7.9,5.3,13.3,2.2,0.4,12,26.5,,0.5,1.2,1.7,0.06,,0,-2,-2,0
28,Leandro Barbosa,SG,29,TOR,42,946,14.2,0.518,0.244,0.2,2.6,7.1,4.9,13.3,2,0.6,12.1,28,,0.2,0.8,1,0.052,,0,-2.2,-2.3,-0.1
