Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,NOP,Zion Williamson\willizi01,Duke University,,,,,,,,,,,,,,,,,
2,2,MEM,Ja Morant\moranja01,Murray State University,,,,,,,,,,,,,,,,,
3,3,NYK,RJ Barrett\barrerj01,Duke University,,,,,,,,,,,,,,,,,
4,4,LAL,De'Andre Hunter\huntede01,University of Virginia,,,,,,,,,,,,,,,,,
5,5,CLE,Darius Garland\garlada01,Vanderbilt University,,,,,,,,,,,,,,,,,
6,6,PHO,Jarrett Culver\culveja01,Texas Tech University,,,,,,,,,,,,,,,,,
7,7,CHI,Coby White\whiteco01,University of North Carolina,,,,,,,,,,,,,,,,,
8,8,ATL,Jaxson Hayes\hayesja02,University of Texas at Austin,,,,,,,,,,,,,,,,,
9,9,WAS,Rui Hachimura\hachiru01,Gonzaga University,,,,,,,,,,,,,,,,,
10,10,ATL,Cam Reddish\reddica01,Duke University,,,,,,,,,,,,,,,,,
11,11,MIN,Cameron Johnson\johnsca02,University of North Carolina,,,,,,,,,,,,,,,,,
12,12,CHO,PJ Washington\washipj01,University of Kentucky,,,,,,,,,,,,,,,,,
13,13,MIA,Tyler Herro\herroty01,University of Kentucky,,,,,,,,,,,,,,,,,
14,14,BOS,Romeo Langford\langfro01,Indiana University,,,,,,,,,,,,,,,,,
15,15,DET,Sekou Doumbouya\doumbse01,,,,,,,,,,,,,,,,,,
16,16,ORL,Chuma Okeke\okekech01,Auburn University,,,,,,,,,,,,,,,,,
17,17,BRK,Nickeil Alexander-Walker\alexani01,Virginia Polytechnic Institute and State University,,,,,,,,,,,,,,,,,
18,18,IND,Goga Bitadze\bitadgo01,,,,,,,,,,,,,,,,,,
19,19,SAS,Luka Samanic\samanlu01,,,,,,,,,,,,,,,,,,
20,20,BOS,Matisse Thybulle\thybuma01,University of Washington,,,,,,,,,,,,,,,,,
21,21,OKC,Brandon Clarke\clarkbr01,Gonzaga University,,,,,,,,,,,,,,,,,
22,22,BOS,Grant Williams\willigr01,University of Tennessee,,,,,,,,,,,,,,,,,
23,23,UTA,Darius Bazley\bazleda01,,,,,,,,,,,,,,,,,,
24,24,PHI,Ty Jerome\jeromty01,University of Virginia,,,,,,,,,,,,,,,,,
25,25,POR,Nassir Little\littlna01,University of North Carolina,,,,,,,,,,,,,,,,,
26,26,CLE,Dylan Windler\windldy01,Belmont University,,,,,,,,,,,,,,,,,
27,27,BRK,Mfiondu Kabengele\kabenmf01,Florida State University,,,,,,,,,,,,,,,,,
28,28,GSW,Jordan Poole\poolejo01,University of Michigan,,,,,,,,,,,,,,,,,
29,29,SAS,Keldon Johnson\johnske04,University of Kentucky,,,,,,,,,,,,,,,,,
30,30,MIL,Kevin Porter Jr.\porteke02,University of Southern California,,,,,,,,,,,,,,,,,
31,31,BRK,Nicolas Claxton\claxtni01,University of Georgia,,,,,,,,,,,,,,,,,
32,32,PHO,KZ Okpala\okpalkz01,Stanford University,,,,,,,,,,,,,,,,,
33,33,PHI,Carsen Edwards\edwarca01,Purdue University,,,,,,,,,,,,,,,,,
34,34,PHI,Bruno Fernando\fernabr01,University of Maryland,,,,,,,,,,,,,,,,,
35,35,ATL,Marcos Louzada Silva\louzama01,,,,,,,,,,,,,,,,,,
